Date,Value
2019-10-01,-1.924396174
2019-11-01,-2.036991172
2019-12-01,-1.746745255
2020-01-01,-1.895132312
2020-02-01,-1.944479194
2020-03-01,-1.98680847
2020-04-01,-2.001992953
2020-05-01,-1.796967804
2020-06-01,-1.499042821
2020-07-01,-1.0748865
2020-08-01,-0.744003214
2020-09-01,-0.555141953
2020-10-01,-0.737259405
2020-11-01,-0.783239469
2020-12-01,-1.293390672
2021-01-01,-1.224660649
2021-02-01,1.173220537
2021-03-01,1.210942583
2021-04-01,1.167898101
2021-05-01,0.754307463
2021-06-01,1.17973083
2021-07-01,0.99821408
2021-08-01,1.164913903
2021-09-01,0.845664577
2021-10-01,0.716998021
2021-11-01,0.528393603
